trip_distance,passenger_count,avg(fare_amount)
0.7,1.0,5.76191543003208
0.7,2.0,5.86367293702511
0.7,3.0,5.916233907087911
0.7,4.0,6.021749693251533
0.7,5.0,5.607262799109627
0.7,6.0,5.576940108491089
0.71,1.0,5.689933798980533
0.71,2.0,5.725063673028677
0.71,3.0,5.699224773541184
0.71,4.0,5.673990543735225
0.71,5.0,5.602387759833088
0.71,6.0,5.64547803617571
0.72,1.0,5.745846848107465
0.72,2.0,5.747552165690013
0.72,3.0,5.724159228480558
0.72,4.0,5.670233000475511
0.72,5.0,5.679020242305667
0.72,6.0,5.68545523712909
0.73,1.0,5.780961515590349
0.73,2.0,5.788195199901662
0.73,3.0,5.7753652182973845
0.73,4.0,5.775857819905213
0.73,5.0,5.719341749323715
0.73,6.0,5.720881110440555
0.73,8.0,88.0
0.74,1.0,5.814723044899556
0.74,2.0,5.826407847726992
0.74,3.0,5.816549689756892
0.74,4.0,5.781343455256499
0.74,5.0,5.772683361819127
0.74,6.0,5.74836323957323
0.75,1.0,5.8577893650760675
0.75,2.0,5.8915451877216585
0.75,3.0,5.834503600040564
0.75,4.0,5.8381737918215615
0.75,5.0,5.793399168399168
0.75,6.0,5.804531231049121
0.76,1.0,5.9171720021036665
0.76,2.0,5.901222670601698
0.76,3.0,5.897217461437645
0.76,4.0,5.872134581105169
0.76,5.0,5.832000149880097
0.76,6.0,5.878511492156147
0.76,8.0,66.0
0.77,1.0,5.952229547107167
0.77,2.0,5.964022187196896
0.77,3.0,5.965884374368304
0.77,4.0,5.947856977014163
0.77,5.0,5.898031466706435
0.77,6.0,5.916244573082489
0.78,1.0,5.995257320289354
0.78,2.0,6.017240626137605
0.78,3.0,5.965305066188912
0.78,4.0,5.950776053215078
0.78,5.0,5.893172046928514
0.78,6.0,5.940362023495565
0.79,1.0,6.042189165367144
0.79,2.0,6.049061509952777
0.79,3.0,5.997648353847693
0.79,4.0,6.007769652650823
0.79,5.0,5.989036055923473
0.79,6.0,5.964693853001323
0.8,1.0,6.189235152460442
0.8,2.0,6.279692405931462
0.8,3.0,6.3425634975195555
0.8,4.0,6.473832681199925
0.8,5.0,6.056743263137681
0.8,6.0,6.027234490010515
0.81,1.0,6.130792381105895
0.81,2.0,6.143186780586211
0.81,3.0,6.201264953912532
0.81,4.0,6.059333483449674
0.81,5.0,6.071376994728861
0.81,6.0,6.066762041010968
0.82,1.0,6.1714038350028995
0.82,2.0,6.175513405924365
0.82,3.0,6.168229960451432
0.82,4.0,6.1592420212765955
0.82,5.0,6.104018311291964
0.82,6.0,6.127055039313795
0.82,7.0,70.0
0.83,1.0,6.212525850711311
0.83,2.0,6.209313952466079
0.83,3.0,6.199632103785459
0.83,4.0,6.17853751399776
0.83,5.0,6.124918907229871
0.83,6.0,6.160763597070477
0.83,7.0,74.0
0.84,1.0,6.262722540412348
0.84,2.0,6.238449036452287
0.84,3.0,6.233886741399305
0.84,4.0,6.254366812227074
0.84,5.0,6.172799885893596
0.84,6.0,6.185209040871296
0.85,1.0,6.310797602858438
0.85,2.0,6.311863261800076
0.85,3.0,6.261909980430529
0.85,4.0,6.269047102235728
0.85,5.0,6.250215486280707
0.85,6.0,6.265461185063023
0.86,1.0,6.335982453236219
0.86,2.0,6.32928732865655
0.86,3.0,6.317098627202804
0.86,4.0,6.353720468094502
0.86,5.0,6.275354067326169
